2025-06-12 16:39:46,659 [main] INFO  o.s.a.m.s.a.McpServerAutoConfiguration - Enable completions capabilities
2025-06-12 16:39:46,675 [main] WARN  o.s.a.m.c.c.a.ChatClientAutoConfiguration - You have enabled logging out the ChatClient prompt content with the risk of exposing sensitive or private information. Please, be careful!
2025-06-12 16:39:46,683 [main] WARN  o.s.a.m.c.o.a.ChatObservationAutoConfiguration - You have enabled logging out the prompt content with the risk of exposing sensitive or private information. Please, be careful!
2025-06-12 16:39:46,684 [main] WARN  o.s.a.m.c.o.a.ChatObservationAutoConfiguration - You have enabled logging out the completion content with the risk of exposing sensitive or private information. Please, be careful!
2025-06-12 16:39:46,851 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2025-06-12 16:39:46,883 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path '/'
2025-06-12 16:39:46,914 [main] INFO  c.p.s.StatusInterpreterApplication - Started StatusInterpreterApplication in 4.225 seconds (process running for 4.964)
2025-06-12 16:40:22,739 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-06-12 16:40:22,740 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-06-12 16:40:22,741 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-06-12 16:40:33,561 [http-nio-8081-exec-4] INFO  c.p.s.aiSvc.PmtAgentToolCallerSvc - Calling PaymentDataTool to get data from db with input: 56
